date,open,high,low,close,volume
1994-09-20,27.1012,27.1283,26.7303,26.7303,355600
1994-09-21,26.8117,26.8117,26.4770,26.7303,397500
1994-09-22,26.7936,26.7936,26.6398,26.6670,266400
1994-09-23,26.6760,26.7303,26.5313,26.5765,176600
1994-09-26,26.6760,26.7303,26.6217,26.7122,223000
1994-09-27,26.7122,26.7846,26.6308,26.6941,479500
1994-09-28,26.8388,26.9383,26.8208,26.9022,324000
1994-09-29,26.9022,26.9022,26.6851,26.7665,195900
1994-09-30,26.7574,26.8841,26.7303,26.7303,5200
1994-10-03,26.7484,26.7755,26.6217,26.6670,72600
1994-10-04,26.8026,26.8026,26.2509,26.2690,84200
1994-10-05,26.2237,26.2780,26.0519,26.2780,461900
1994-10-06,26.2961,26.3142,26.1513,26.1966,345200
1994-10-07,26.1966,26.3866,26.1695,26.3142,188700
1994-10-10,26.4318,26.6398,26.4227,26.5946,213600
1994-10-11,26.7122,27.0650,26.7122,26.9926,461400
1994-10-12,27.0288,27.0650,26.9655,27.0288,162400
1994-10-13,27.3364,27.3997,27.0921,27.1193,1564500
1994-10-14,27.2097,27.2459,27.0288,27.2368,72800
1994-10-17,27.2097,27.2459,27.1554,27.1826,282300
1994-10-18,27.1554,27.1554,27.0288,27.1193,132100
1994-10-19,27.0197,27.3454,27.0107,27.2459,136700
1994-10-20,27.2459,27.2459,26.9836,27.0650,290300
1994-10-21,26.9926,27.0288,26.8388,26.9565,87800
1994-10-24,26.9655,27.0740,26.7212,26.7303,149600
1994-10-25,26.6398,26.8117,26.6308,26.7574,91800
1994-10-26,26.8569,26.8841,26.7303,26.8569,201000
1994-10-27,26.9565,27.0197,26.8931,27.0197,210300
1994-10-28,27.0740,27.6168,27.0740,27.5896,192100
1994-10-31,27.5263,27.5535,27.4811,27.4901,36300
1994-11-01,27.3725,27.3725,27.1736,27.1826,435200
1994-11-02,27.1012,27.3454,27.0288,27.0288,115600
1994-11-03,27.1193,27.2188,27.0831,27.1736,87000
1994-11-04,27.3002,27.3002,26.8208,26.8208,124400
1994-11-07,26.8841,26.9745,26.8117,26.9022,115000
1994-11-08,26.9926,27.2007,26.9474,27.1102,308300
1994-11-09,27.3997,27.3997,26.9203,27.1554,318500
1994-11-10,27.1736,27.2278,26.9474,26.9655,172100
1994-11-11,26.9293,26.9565,26.7936,26.8660,302200
1994-11-14,26.9836,27.1283,26.9836,27.1193,181400
1994-11-15,27.0921,27.2640,26.8208,27.0288,316900
1994-11-16,27.0740,27.1193,26.9836,27.1193,106900
1994-11-17,27.1374,27.1374,26.8298,26.9383,104700
1994-11-18,26.9474,26.9926,26.7846,26.9022,269300
1994-11-21,26.8841,26.9655,26.6308,26.6308,283100
1994-11-22,26.5313,26.6308,26.0519,26.0519,483600
1994-11-23,26.0699,26.2056,25.8257,26.1966,601600
1994-11-25,26.2147,26.3594,26.2147,26.3232,77300
1994-11-28,26.3142,26.4499,26.2509,26.4408,79900
